Departments,gpax,Science,Mathematics,Biology,Chemistry,Physics,Computer,English
Big Data Management and Analytics,3.5,0,0,0,0,0,2,0.7
Big Data Management and Analytics,3.33,0,1.2,0,0,0,1.75,0.8
Big Data Management and Analytics,2.05,0,0.45,0,0,0,2,0.2
Big Data Management and Analytics,2.5,0,0.6,0,0,0,0,0.6
Big Data Management and Analytics,3.41,0,0.9,0,0,0,2,0.8
Big Data Management and Analytics,3.3,0,0.9,0,0,0,2,0.7
Big Data Management and Analytics,2.25,0,0.6,0,0,0,1.095,0.4
Big Data Management and Analytics,3.69,0,1.2,0,0,0,2,0.8
Big Data Management and Analytics,2.54,0,0.6,0,0,0,1.5,0.6
Big Data Management and Analytics,3.7,0,1.113,0,0,0,0,0.66
Big Data Management and Analytics,2.94,0,0.762,0,0,0,1.57,0.646
Big Data Management and Analytics,3.87,0,1.05,0,0,0,2,0.8
Big Data Management and Analytics,2.97,0,0.84,0,0,0,1.625,0.63
Big Data Management and Analytics,2,0,0.441,0,0,0,0.835,0.508
Big Data Management and Analytics,2.82,0,0.72,0,0,0,1.34,0.432
Big Data Management and Analytics,2.75,0,0.642,0,0,0,0,0.46
Big Data Management and Analytics,2.54,0,0.708,0,0,0,0,0.532
Big Data Management and Analytics,3.58,0,1.053,0,0,0,0,0.606
Big Data Management and Analytics,3.81,0,1.179,0,0,0,2,0.8
Big Data Management and Analytics,3.68,0,1.008,0,0,0,2,0.724
Big Data Management and Analytics,3.41,0,0.975,0,0,0,1.585,0.716
Big Data Management and Analytics,3.3,0,0.699,0,0,0,0,0.662
Applied Mathematics,3.53,0,2.912,0,0,0,0,0
Applied Mathematics,3.25,0,2.688,0,0,0,0.7,0
Applied Mathematics,3.64,0,2.504,0,0,0,0.8,0
Applied Mathematics,3.61,0,3.104,0,0,0,0.8,0
Applied Mathematics,3.63,0,3.088,0,0,0,0.78,0
Applied Mathematics,3.4,0,2.648,0,0,0,0.6,0
Applied Mathematics,3.29,0,2.712,0,0,0,0.75,0
Applied Mathematics,2.96,0,2.088,0,0,0,0,0
Applied Mathematics,3.53,0,2.912,0,0,0,0,0
Applied Mathematics,3.45,0,2.904,0,0,0,0.75,0
Applied Biology,3.45,0,0.682,2.4,0.7,0,0,0
Applied Biology,3.42,0,0.4,1.38,0.6,0,0,0
Applied Biology,3.7,0,0.64,2.28,0.68,0,0,0
Applied Biology,3.29,0,0.554,1.686,0.614,0,0,0
Applied Biology,3.83,0,0.752,2.1,0.64,0,0,0
Applied Biology,3.14,0,0.65,1.8,0.6,0,0,0
Applied Biology,3.53,0,0.56,2.25,0.778,0,0,0
Applied Biology,3.9,0,0.78,2.28,0.77,0,0,0
Information Technology and Digital Communication,3.3,0,0.6,0,0,0,1.5,0.9
Information Technology and Digital Communication,2.96,0,0.6,0,0,0,1.75,0.75
Information Technology and Digital Communication,3.8,0,0.6,0,0,0,2,1.2
Information Technology and Digital Communication,3.74,0,0.8,0,0,0,2,1.2
Information Technology and Digital Communication,3.4,0,0.6,0,0,0,2,0.9
Information Technology and Digital Communication,3.17,0,0.712,0,0,0,1.78,1.11
Information Technology and Digital Communication,3.5,0,0.6,0,0,0,2,0.9
Information Technology and Digital Communication,2.97,0,0.538,0,0,0,1.395,0.873
Information Technology and Digital Communication,3.81,0,0.8,0,0,0,2,1.2
Information Technology and Digital Communication,2.5,0,0.4,0,0,0,1,0.75
Information Technology and Digital Communication,3.63,0,0.8,0,0,0,1.5,0.9
Information Technology and Digital Communication,3.62,0,0.4,0,0,0,2,0.6
Information Technology and Digital Communication,3,0,0.6,0,0,0,1.5,0.9
Information Technology and Digital Communication,3.12,0,0.516,0,0,0,0,0.942
Information Technology and Digital Communication,3.64,0,0.74,0,0,0,0,1.098
Information Technology and Digital Communication,3.78,0,0.744,0,0,0,1.75,1.14
Information Technology and Digital Communication,3.05,0,0.7,0,0,0,1.75,1.05
Information Technology and Digital Communication,3.77,0,0.6,0,0,0,1.5,1.05
Information Technology and Digital Communication,3.95,0,0.8,0,0,0,2,1.2
Information Technology and Digital Communication,3.79,0,0.75,0,0,0,1.91,1.173
Information Technology and Digital Communication,3.5,0,0.7,0,0,0,2,1.2
Information Technology and Digital Communication,3.83,0,0.766,0,0,0,2,1.182
Information Technology and Digital Communication,3.46,0,0.696,0,0,0,2,1.2
Information Technology and Digital Communication,3.31,0,0.64,0,0,0,1.75,0.9
Information Technology and Digital Communication,3.53,0,0.6,0,0,0,0,1.17
Information Technology and Digital Communication,3.41,0,0.632,0,0,0,2,1.05
Information Technology and Digital Communication,3.5,0,0.6,0,0,0,2,1.2
Information Technology and Digital Communication,2.98,0,0.4,0,0,0,0,0.9
Information Technology and Digital Communication,3.47,0,0.6,0,0,0,1.75,1.05
Information Technology and Digital Communication,3.29,0,0.654,0,0,0,1.5,1.023
Information Technology and Digital Communication,3.24,0,0.682,0,0,0,1.64,0.957
Information Technology and Digital Communication,3.33,0,0.6,0,0,0,2,1.05
Information Technology and Digital Communication,3.34,0,0.692,0,0,0,2,1.074
Information Technology and Digital Communication,3.88,0,0.766,0,0,0,2,1.17
Information Technology and Digital Communication,3.36,0,0.42,0,0,0,2,1.05
Information Technology and Digital Communication,3.87,0,0.752,0,0,0,2,1.2
Information Technology and Digital Communication,3.59,0,0.756,0,0,0,1.665,1.14
Information Technology and Digital Communication,3.67,0,0.6,0,0,0,2,0.75
Applied Physics,3.2,0,0.4375,0,0,0,0,0
Applied Physics,3.5,0,0.815,0,0.6,2.4,0,0
Applied Physics,3.21,0,0.7075,0,0,0,0,0
Computer Science,3.3,0,0.75,0,0,0,1.66,0.69
Computer Science,3.68,0,0.999,0,0,0,2,0.66
Computer Science,3.23,0,0.756,0,0,0,2,0.69
Computer Science,3.71,0,0.75,0,0,0,1.5,0.6
Computer Science,3.59,0,0.99,0,0,0,1.81,0.676
Computer Science,3.53,0,0.975,0,0,0,1.955,0.68
Computer Science,2.9,0,1.05,0,0,0,1.75,0.6
Computer Science,2.98,0,0.948,0,0,0,1.58,0.494
Computer Science,3.39,0,0.75,0,0,0,1.25,0.3
Computer Science,3.27,0,0.828,0,0,0,2,0.566
Computer Science,3.93,0,1.2,0,0,0,2,0.766
Computer Science,3.25,0,1.056,0,0,0,1.5,0.674
Computer Science,3.69,0,1.107,0,0,0,1.8,0.746
Computer Science,3.78,0,1.158,0,0,0,1.96,0.738
Computer Science,3.46,0,0.963,0,0,0,2,0.79
Computer Science,2.95,0,0.864,0,0,0,1.955,0.69
Computer Science,2.95,0,0.864,0,0,0,2,0.69
Computer Science,3.9,0,1.161,0,0,0,2,0.8
Computer Science,3.59,0,0.984,0,0,0,1.735,0.762
Computer Science,3.51,0,0.87,0,0,0,1.925,0.752
Computer Science,3.01,0,0.885,0,0,0,1.41,0.592
Computer Science,3.45,0,1.083,0,0,0,1.625,0.726
Computer Science,3.72,0,1.05,0,0,0,1.98,0.65
Computer Science,3.76,0,1.14,0,0,0,1.795,0.8
Computer Science,3.9,0,1.149,0,0,0,1.955,0.782
Computer Science,3.42,0,0.783,0,0,0,2,0.674
Food Science and Technology,2.72,0.0968,0,0,0,0,0,0
Food Science and Technology,3.43,0.16,0,0,0,0,0,0
Applied Statistics,3.55,0.037,1.075,0,0,0,1.2,0.553
Applied Statistics,3.57,0.0346,1.5093,0.0345,0.0358,0.0358,1.161,0.5096
Applied Statistics,3.5,0.3,1.505,0.03,0.035,0.035,1.2,0.35
Applied Statistics,3.16,0.35,0.86,0.03,0.03,0.03,1.05,0.28
Applied Statistics,2.26,0.2,1.075,0.015,0.02,0.02,1.05,0.28
Applied Statistics,3.76,0.379,1.5394,0.04,0.04,0.04,1.164,0.5362
Applied Statistics,3.33,0.35,1.5738,0.035,0.035,0.035,1.05,0.3458
Applied Statistics,2,0.2,1.075,0.02,0.02,0.02,0.6,0.42
Applied Statistics,3.48,0.317,1.548,0.02,0.035,0.035,0.96,0.427
Applied Statistics,2.37,0.223,0.8643,0.0201,0.0226,0.0226,0.735,0.3248
Applied Statistics,2.7,0.3,1.29,0.03,0.03,0.03,0.6,0.28
Applied Statistics,2.98,0.265,1.3631,0.025,0.021,0.021,1.02,0.3724
Applied Statistics,2.85,0.25,0.86,0,0,0,0.9,0.56
Applied Statistics,2.04,0.201,0.4515,0.0105,0.01,0.01,0.615,0.147
Applied Statistics,3.1,0.2,0.86,0.02,0.02,0.02,0.9,0.35
Applied Statistics,2.9,0.25,1.29,0,0,0,1.05,0.42
Applied Statistics,3.17,0.269,1.2255,0,0,0,1.071,0.4424
Applied Statistics,3.5,0.3,1.29,0,0,0,1.2,0.49
Applied Statistics,3.46,0.318,1.505,0.035,0.03,0.03,0.9,0.4984
Applied Statistics,3.33,0.352,1.0234,0,0,0,1.056,0.5306
Applied Statistics,3.14,0.3,1.505,0.04,0.02,0.02,1.2,0.14
Applied Statistics,2.6,0.25,1.032,0.028,0.03,0.03,1.05,0.322
Applied Statistics,2.89,0.27,1.0965,0.03,0.0238,0.0238,1.098,0.413
Applied Statistics,3.23,0.35,1.72,0.03,0.03,0.03,1.2,0.35
Applied Statistics,3.54,0.326,1.4749,0.0333,0.0274,0.0274,1.2,0.5432
Applied Statistics,3.28,0.292,1.505,0.0308,0.0208,0.0208,0.936,0.4522
Applied Statistics,3.34,0.324,1.4964,0.0308,0.0305,0.0305,0.972,0.392
Applied Statistics,3,0.3,1.29,0,0,0,0.75,0.42
Applied Statistics,3.17,0.309,1.3158,0.03,0.0281,0.0281,0.912,0.3178
Applied Statistics,3.25,0.3,1.075,0,0,0,0.9,0.42
Applied Statistics,2.89,0.2,1.247,0.031,0.0257,0.0257,1.05,0.4046
Applied Statistics,3.1,0.305,1.2298,0.03,0.0282,0.0282,1.056,0.343
Applied Statistics,3.1,0.3,1.2427,0.028,0.0276,0.0276,1.02,0.434
Applied Statistics,3.17,0.25,0.86,0.03,0.03,0.03,0.9,0.49
Applied Statistics,2.72,0.275,1.075,0.025,0.02,0.02,1.125,0.49
Applied Statistics,2.65,0.308,0.9546,0.0233,0.0158,0.0158,1.08,0.315
Applied Statistics,2.51,0.25,1.0019,0,0,0,0,0.35
Applied Statistics,3.67,0.37,1.6856,0.0321,0.0389,0.0389,1.2,0.56
Applied Statistics,3.78,0.365,1.6856,0.0366,0.0367,0.0367,1.2,0.5152
